topology_id,topology_name,family,physical_topology_name,mask_name,input_mask_name,edge_json,input_mask_json,n_nodes,n_edges,n_context,z_dim,p,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,support_fraction,support_min,support_mean,support_max,rank_mass_min,rank_mass_mean,rank_mass_max,rank_mass_gini,rank_dim_mass_min,rank_dim_mass_mean,rank_dim_mass_max,rank_dim_mass_gini,rank_nonzero_fraction,rank_weight_entropy,rank_weight_effective_entries,rooted_polytope_n_roots,rooted_polytope_common_rank_total,rooted_polytope_common_rank_mean,rooted_polytope_common_rank_max,rooted_polytope_supported_branch_dim_fraction,rooted_polytope_branch_root_support_min,rooted_polytope_branch_root_support_mean,rooted_polytope_branch_root_support_max,rooted_polytope_branch_root_support_gini,rooted_polytope_branch_best_rank_min,rooted_polytope_branch_best_rank_mean,rooted_polytope_branch_best_rank_max,rooted_polytope_branch_best_rank_gini,rooted_polytope_root_rank_mass_min,rooted_polytope_root_rank_mass_mean,rooted_polytope_root_rank_mass_max,rooted_polytope_root_rank_mass_gini,rooted_polytope_root_rank_mass_effective,oracle_test_accuracy,oracle_test_margin_mean,oracle_test_margin_p10,oracle_test_margin_finite_fraction,rank_weighted_oracle_test_accuracy,rank_weighted_oracle_test_margin_mean,rank_weighted_oracle_test_margin_p10,rank_weighted_oracle_test_margin_finite_fraction,linear_test_accuracy,linear_test_margin_mean,linear_test_margin_p10,linear_test_margin_finite_fraction,rank_weighted_linear_test_accuracy,rank_weighted_linear_test_margin_mean,rank_weighted_linear_test_margin_p10,rank_weighted_linear_test_margin_finite_fraction,linear_weight_norm,weighted_linear_weight_norm,tropical_feature_trials,tropical_feature_mode,tropical_projection_radius,tropical_edge_bias_scale,tropical_linear_train_accuracy_mean,tropical_linear_train_accuracy_max,tropical_linear_train_accuracy_std,tropical_linear_test_accuracy_mean,tropical_linear_test_accuracy_max,tropical_linear_test_accuracy_std,tropical_linear_test_margin_p10_mean,tropical_linear_test_margin_p10_max,tropical_linear_test_margin_p10_std,tropical_root_feature_effective_rank_mean,tropical_root_feature_effective_rank_max,tropical_root_feature_effective_rank_std,tropical_root_feature_variance_mean,tropical_root_feature_variance_max,tropical_root_feature_variance_std
g0040_cycle_chords_seed41,cycle_chords,cycle_chords,cycle_chords_n5_m12_seed41,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0040_cycle_chords_seed41.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,114.0,3.8,7.0,1.0,4.0,4.0,4.0,0.0,14.0,14.0,14.0,0.0,0.0,22.8,42.0,0.3789473684210527,3.657908838077673,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.407,0.435,0.020037464909513872,0.37966666666666665,0.423,0.019149992747315138,-0.1501097840335504,-0.06282851218655612,0.038050524879152614,2.7312246919948393,3.584906647077506,0.47757021500414026,0.1909772053876424,0.2506233326093978,0.03193699088634472
g0045_cycle_chords_seed46,cycle_chords,cycle_chords,cycle_chords_n5_m12_seed46,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0045_cycle_chords_seed46.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,156.0,5.2,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,31.2,36.0,0.030769230769230882,4.985752875393529,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.41700000000000004,0.48,0.028589042189855418,0.40691666666666665,0.436,0.019396985733756554,-0.15841501406618583,-0.09578022713960124,0.04933353533006002,3.2961973084527667,3.705253753130079,0.24737664207548865,0.06985817093545867,0.08829116812088852,0.01321128076816486
g0082_cycle_chords_seed83,cycle_chords,cycle_chords,cycle_chords_n5_m12_seed83,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0082_cycle_chords_seed83.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,120.0,4.0,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,12.0,24.0,36.0,0.19999999999999996,4.6855322715632255,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.407,0.454,0.03119294792096445,0.3968333333333333,0.454,0.03370913163455201,-0.13705524895618218,-0.06484276209207922,0.048864093904414124,3.2698923876311325,3.7234419473065365,0.2737644036708641,0.0845954885478497,0.10503944006079532,0.013482060763697738
g0085_cycle_chords_seed86,cycle_chords,cycle_chords,cycle_chords_n5_m12_seed86,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0085_cycle_chords_seed86.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,126.0,4.2,7.0,1.0,4.0,4.0,4.0,0.0,14.0,14.0,14.0,0.0,0.0,25.2,42.0,0.32380952380952377,3.833623075746253,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.41808333333333336,0.456,0.026590908011741323,0.3985,0.457,0.029485872323312172,-0.12816325624059924,-0.06390064222011684,0.04604737514507161,3.0169330841655224,3.4490800973850826,0.3734259862377045,0.16012942034716277,0.23624064730565447,0.03487543680411167
g0097_random_sc_seed2,random_sc,random_sc,random_sc_n5_m12_seed2,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0097_random_sc_seed2.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,108.0,3.6,7.0,1.0,4.0,4.0,4.0,0.0,14.0,14.0,14.0,0.0,0.0,21.6,42.0,0.4222222222222223,3.4154537440980675,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.4045833333333333,0.45,0.025031507922793805,0.3830833333333334,0.433,0.026424289121101355,-0.1632700783417608,-0.11285592525382998,0.03583749238780945,2.8784934167456036,3.683058587854075,0.3328333090770973,0.18587936079995068,0.21573797783584445,0.018909485909902154
g0187_random_sc_seed92,random_sc,random_sc,random_sc_n5_m12_seed92,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0187_random_sc_seed92.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,7.0,1.0,5.0,5.0,5.0,0.0,14.0,14.0,14.0,0.0,30.0,33.6,42.0,0.0714285714285714,4.950950773339135,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.4121666666666666,0.443,0.016369857122840812,0.39408333333333334,0.431,0.02271364616749636,-0.13496969769530234,-0.08936568529577979,0.04235677505268328,3.4097434241235955,3.7989920515881446,0.23421484394539674,0.07009927916344089,0.0856230106136015,0.00990502211091635
g0267_hub_spoke_seed76,hub_spoke,hub_spoke,hub_spoke_n5_m12_seed76,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0267_hub_spoke_seed76.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,132.0,4.4,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,12.0,26.4,36.0,0.18181818181818188,4.695472215803778,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.40391666666666676,0.443,0.027687115936638987,0.38175,0.425,0.023345681256569356,-0.1502401821788322,-0.06345581532334012,0.041596307224212266,3.0988719266984,3.6116718224963953,0.2750132153753256,0.09501666096890976,0.1247620552105414,0.01902693184151742
g0289_two_module_seed2,two_module,two_module,two_module_n5_m12_seed2,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0289_two_module_seed2.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,126.0,4.2,7.0,1.0,5.0,5.0,5.0,0.0,14.0,14.0,14.0,0.0,12.0,25.2,42.0,0.24761904761904763,4.499882124688025,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.4025000000000001,0.445,0.027518175811634026,0.3928333333333333,0.439,0.03270788216249342,-0.17840210616429217,-0.06855475790282224,0.04569780872006952,2.9415204284642584,3.482634738163717,0.3280560610790609,0.11207712273295856,0.16302312248347967,0.026739263817545062
g0295_two_module_seed9,two_module,two_module,two_module_n5_m12_seed9,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0295_two_module_seed9.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,138.0,4.6,7.0,1.0,5.0,5.0,5.0,0.0,14.0,14.0,14.0,0.0,12.0,27.6,42.0,0.20869565217391317,4.6338227144697735,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.40324999999999994,0.455,0.028893843058109575,0.39475,0.455,0.03130262236086087,-0.16336095495215255,-0.03902723895917772,0.05677620971864065,3.157722625185207,3.6994637366955123,0.3746571962579035,0.09818044882722336,0.15669991168725564,0.02670456305404281
g0354_degree_balanced_seed9,degree_balanced,degree_balanced,degree_balanced_n5_m12_seed9,,full,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n5_m12_N3_D2/topologies/g0354_degree_balanced_seed9.json,,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,5,168.0,5.6,6.0,1.0,5.0,5.0,5.0,0.0,12.0,12.0,12.0,0.0,30.0,33.6,36.0,0.04285714285714293,4.980647400358517,1.0,2.281563216769485,0.2523719487138202,1.0,1.0,2.281563216769485,0.2523719487138202,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.877,0.31541473684473703,-0.019362166200501116,1.0,0.28367525570667673,0.28367525570667673,12,max,1.0,0.0,0.433,0.527,0.038632887544163726,0.4254166666666666,0.5,0.03363147913620347,-0.16069840005526037,-0.07022793239415527,0.04967738228842898,3.680978453440201,3.835304646807493,0.11983882002452236,0.05018532358046196,0.06330206391813865,0.006847264462031524
