run_dir,label,topology_name,physical_topology_name,input_mask_name,input_mask_family,input_mask_seed,seed,topology_seed,n_nodes,n_edges,p,raw_physical_parameter_count,input_coupled_parameter_count,input_coupled_edge_count,input_coupled_coord_count,input_parameter_density,input_edge_density,input_coord_density,input_edge_load_gini,input_coord_load_gini,n_req,d_rel,d_rel_minus_n_req,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_common_d_rel_source,comparison_branch_input_count_min,comparison_branch_input_count_mean,comparison_branch_input_count_max,comparison_branch_input_count_gini,comparison_branch_input_overlap_min,comparison_branch_input_overlap_mean,comparison_branch_input_overlap_max,comparison_branch_input_overlap_gini,comparison_branch_input_overlap_source,rank_D,effective_rank_D,condition_number_D,effective_rank_D_masked,condition_number_D_masked,root_tree_count_cv,root_tree_count_gini,edge_participation_var,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,train_acc_final,val_acc_final,icl_acc_final_eval,icl_acc_max_eval,icl_acc_mean_eval,iwl_acc_final_eval,test_in_dist,test_novel_classes,execution_time,capacity_n_nodes,capacity_n_edges,capacity_n_context,capacity_z_dim,capacity_p,capacity_d_rel,capacity_comparison_branch_common_d_rel_min,capacity_comparison_branch_common_d_rel_mean,capacity_support_fraction,capacity_support_min,capacity_support_mean,capacity_support_max,capacity_rank_mass_min,capacity_rank_mass_mean,capacity_rank_mass_max,capacity_rank_mass_gini,capacity_rank_dim_mass_min,capacity_rank_dim_mass_mean,capacity_rank_dim_mass_max,capacity_rank_dim_mass_gini,capacity_rank_nonzero_fraction,capacity_rank_weight_entropy,capacity_rank_weight_effective_entries,capacity_oracle_test_accuracy,capacity_oracle_test_margin_mean,capacity_oracle_test_margin_p10,capacity_oracle_test_margin_finite_fraction,capacity_rank_weighted_oracle_test_accuracy,capacity_rank_weighted_oracle_test_margin_mean,capacity_rank_weighted_oracle_test_margin_p10,capacity_rank_weighted_oracle_test_margin_finite_fraction,capacity_linear_test_accuracy,capacity_linear_test_margin_mean,capacity_linear_test_margin_p10,capacity_linear_test_margin_finite_fraction,capacity_rank_weighted_linear_test_accuracy,capacity_rank_weighted_linear_test_margin_mean,capacity_rank_weighted_linear_test_margin_p10,capacity_rank_weighted_linear_test_margin_finite_fraction,capacity_linear_weight_norm,capacity_weighted_linear_weight_norm,capacity_tropical_feature_trials,capacity_tropical_feature_mode,capacity_tropical_projection_radius,capacity_tropical_edge_bias_scale,capacity_tropical_linear_train_accuracy_mean,capacity_tropical_linear_train_accuracy_max,capacity_tropical_linear_train_accuracy_std,capacity_tropical_linear_test_accuracy_mean,capacity_tropical_linear_test_accuracy_max,capacity_tropical_linear_test_accuracy_std,capacity_tropical_linear_test_margin_p10_mean,capacity_tropical_linear_test_margin_p10_max,capacity_tropical_linear_test_margin_p10_std,capacity_tropical_root_feature_effective_rank_mean,capacity_tropical_root_feature_effective_rank_max,capacity_tropical_root_feature_effective_rank_std,capacity_tropical_root_feature_variance_mean,capacity_tropical_root_feature_variance_max,capacity_tropical_root_feature_variance_std
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed1,g0040_cycle_chords_seed41_trainseed1,cycle_chords_n5_m12_seed41,cycle_chords_n5_m12_seed41,full,,1,1,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.476975909374493,9.37433516658637,67.81580727499593,9.37433516658637,0.9382653571042043,0.5076923076923077,0.0034516765285996054,0.08012820512820507,0.0,1.6,92.24,92.1,93.5,93.5,83.0,4.5,91.4,91.2,15.58051347732544,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.40802083333333333,0.475,0.027345486055999964,0.36375,0.41375,0.028831406486676987,-0.15847301566333832,-0.09379414135148874,0.04883133705619241,2.73683907018571,3.6052561733075605,0.4810812934098265,0.18967559368404888,0.25347288870369394,0.030817204691652847
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed2,g0040_cycle_chords_seed41_trainseed2,cycle_chords_n5_m12_seed41,cycle_chords_n5_m12_seed41,full,,2,2,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.476975909374493,9.37433516658637,67.81580727499593,9.37433516658637,0.9382653571042043,0.5076923076923077,0.0034516765285996054,0.08012820512820507,0.0,1.6,74.7,73.5,70.5,78.5,66.8,0.5,75.2,73.0,15.510237455368042,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.40802083333333333,0.475,0.027345486055999964,0.36375,0.41375,0.028831406486676987,-0.15847301566333832,-0.09379414135148874,0.04883133705619241,2.73683907018571,3.6052561733075605,0.4810812934098265,0.18967559368404888,0.25347288870369394,0.030817204691652847
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed3,g0040_cycle_chords_seed41_trainseed3,cycle_chords_n5_m12_seed41,cycle_chords_n5_m12_seed41,full,,3,3,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.476975909374493,9.37433516658637,67.81580727499593,9.37433516658637,0.9382653571042043,0.5076923076923077,0.0034516765285996054,0.08012820512820507,0.0,1.6,84.98,85.5,82.0,87.5,79.9,4.5,87.0,85.4,15.502939224243164,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.40802083333333333,0.475,0.027345486055999964,0.36375,0.41375,0.028831406486676987,-0.15847301566333832,-0.09379414135148874,0.04883133705619241,2.73683907018571,3.6052561733075605,0.4810812934098265,0.18967559368404888,0.25347288870369394,0.030817204691652847
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed4,g0040_cycle_chords_seed41_trainseed4,cycle_chords_n5_m12_seed41,cycle_chords_n5_m12_seed41,full,,4,4,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.476975909374493,9.37433516658637,67.81580727499593,9.37433516658637,0.9382653571042043,0.5076923076923077,0.0034516765285996054,0.08012820512820507,0.0,1.6,88.32,88.9,87.0,87.5,80.85,2.5,89.2,87.0,14.462135314941406,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.40802083333333333,0.475,0.027345486055999964,0.36375,0.41375,0.028831406486676987,-0.15847301566333832,-0.09379414135148874,0.04883133705619241,2.73683907018571,3.6052561733075605,0.4810812934098265,0.18967559368404888,0.25347288870369394,0.030817204691652847
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0040_cycle_chords_seed41_trainseed5,g0040_cycle_chords_seed41_trainseed5,cycle_chords_n5_m12_seed41,cycle_chords_n5_m12_seed41,full,,5,5,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.476975909374493,9.37433516658637,67.81580727499593,9.37433516658637,0.9382653571042043,0.5076923076923077,0.0034516765285996054,0.08012820512820507,0.0,1.6,82.86,80.6,86.0,86.0,76.2,3.0,81.0,79.6,14.482073783874512,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.40802083333333333,0.475,0.027345486055999964,0.36375,0.41375,0.028831406486676987,-0.15847301566333832,-0.09379414135148874,0.04883133705619241,2.73683907018571,3.6052561733075605,0.4810812934098265,0.18967559368404888,0.25347288870369394,0.030817204691652847
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0045_cycle_chords_seed46_trainseed1,g0045_cycle_chords_seed46_trainseed1,cycle_chords_n5_m12_seed46,cycle_chords_n5_m12_seed46,full,,1,1,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.917845322433282,3.0483174961156583,71.34276257946624,3.0483174961156583,0.0,0.0,0.025925925925925936,0.22916666666666674,0.0,1.4,70.7,70.6,75.5,75.5,67.45,4.0,68.6,69.0,14.803918838500977,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.4175,0.4825,0.026195379681666502,0.3808333333333333,0.46125,0.030010125606016534,-0.1800516456969414,-0.10767117779307102,0.06357035123239217,3.333687483265173,3.727750210637248,0.2542587719029003,0.0689293946554956,0.08535435549246248,0.013057726525792755
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0045_cycle_chords_seed46_trainseed2,g0045_cycle_chords_seed46_trainseed2,cycle_chords_n5_m12_seed46,cycle_chords_n5_m12_seed46,full,,2,2,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.917845322433282,3.0483174961156583,71.34276257946624,3.0483174961156583,0.0,0.0,0.025925925925925936,0.22916666666666674,0.0,1.4,93.6,93.0,94.5,94.5,82.85,1.5,91.8,92.2,14.707377910614014,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.4175,0.4825,0.026195379681666502,0.3808333333333333,0.46125,0.030010125606016534,-0.1800516456969414,-0.10767117779307102,0.06357035123239217,3.333687483265173,3.727750210637248,0.2542587719029003,0.0689293946554956,0.08535435549246248,0.013057726525792755
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0045_cycle_chords_seed46_trainseed3,g0045_cycle_chords_seed46_trainseed3,cycle_chords_n5_m12_seed46,cycle_chords_n5_m12_seed46,full,,3,3,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.917845322433282,3.0483174961156583,71.34276257946624,3.0483174961156583,0.0,0.0,0.025925925925925936,0.22916666666666674,0.0,1.4,89.84,90.0,87.5,91.0,80.75,4.0,92.0,88.2,14.732299566268921,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.4175,0.4825,0.026195379681666502,0.3808333333333333,0.46125,0.030010125606016534,-0.1800516456969414,-0.10767117779307102,0.06357035123239217,3.333687483265173,3.727750210637248,0.2542587719029003,0.0689293946554956,0.08535435549246248,0.013057726525792755
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0045_cycle_chords_seed46_trainseed4,g0045_cycle_chords_seed46_trainseed4,cycle_chords_n5_m12_seed46,cycle_chords_n5_m12_seed46,full,,4,4,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.917845322433282,3.0483174961156583,71.34276257946624,3.0483174961156583,0.0,0.0,0.025925925925925936,0.22916666666666674,0.0,1.4,97.58,97.4,96.5,97.0,88.05,3.0,96.6,96.6,14.88057565689087,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.4175,0.4825,0.026195379681666502,0.3808333333333333,0.46125,0.030010125606016534,-0.1800516456969414,-0.10767117779307102,0.06357035123239217,3.333687483265173,3.727750210637248,0.2542587719029003,0.0689293946554956,0.08535435549246248,0.013057726525792755
/home/aadarwal/repos/topology/ICL/results/expanded_hard_sweeps/n5_m12_N3_D2/g0045_cycle_chords_seed46_trainseed5,g0045_cycle_chords_seed46_trainseed5,cycle_chords_n5_m12_seed46,cycle_chords_n5_m12_seed46,full,,5,5,0,5,12,8,96,96,12,8,1.0,1.0,1.0,0.0,0.0,48,88,40,22,22.0,22,0.0,22,22.0,22,0.0,artifact,24,24.0,24,0.0,24,24.0,24,0.0,artifact,11,8.917845322433282,3.0483174961156583,71.34276257946624,3.0483174961156583,0.0,0.0,0.025925925925925936,0.22916666666666674,0.0,1.4,96.94,96.5,97.5,97.5,87.8,2.5,97.6,96.6,15.06769847869873,5,12,3,2,8,88,22,22.0,1.0,2,2.0,2,22.0,22.0,22.0,0.0,33.0,33.0,33.0,0.0,1.0,1.7917594692280547,5.999999999999998,1.0,2.1785423559219335,0.23649033306598813,1.0,1.0,2.1785423559219335,0.23649033306598813,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.88,0.2992286716300695,-0.013688714152014114,1.0,0.2807825362641403,0.2807825362641403,12,max,1.0,0.0,0.4175,0.4825,0.026195379681666502,0.3808333333333333,0.46125,0.030010125606016534,-0.1800516456969414,-0.10767117779307102,0.06357035123239217,3.333687483265173,3.727750210637248,0.2542587719029003,0.0689293946554956,0.08535435549246248,0.013057726525792755
